login,collab_breadth,5yr_public_commits,5yr_private_work,5yr_reviews_given,5yr_prs_opened
SUBHADIPDEYSuRvA0,0,116,22,0,1
SUKARDADDY,0,0,0,0,0
SUKESH127-art,0,184,66,0,1
SUP613,0,3,0,0,1
SUPA5INGH,0,298,0,0,79
SUPERTKY,0,1469,0,0,7
SVAdithya,0,100,0,2,88
SVSKHD,0,605,0,0,3
SW1MD,0,43,0,0,6
SWAROOPNC,0,754,11,0,4
SWEaoq,1,45,0,0,1
SWUSTcyt,0,95,0,0,1
SWWS97,7,478,64,207,221
SYLLA75,0,0,0,0,0
SYMBaiEX,8,890,1224,39,90
SYSTEMS-OPERATOR,1,1134,0,2,612
SZoloth,3,250,1283,0,3
SZuluagaLevelUpFinance,0,6,0,0,4
Sa74ll,0,77,6,0,14
Saaarthakkk,0,15,0,0,3
Saaiiikrishna,2,151,627,1,30
SaangelR10,1,158,0,0,6
